investment_goal,income,timeframe,years_of_experience,target_amount,lump_sum_investment,monthly_investment,risk_score
Buy a house,medium,5–10 years,3,210000,12000,1200,3
emergency fund,low,Under 1 year,7,12000,3000,400,16
emergency fund,medium,1–5 years,1,15642,7537,908,3
Buy a house,high,5–10 years,7,400000,18000,1600,2
retirement,low,5–10 years,1,227535,7600,282,42
emergency fund,medium,5–10 years,4,14500,4000,900,84
emergency fund,medium,5–10 years,4,13369,16665,754,1
vacation,high,Under 1 year,6,7694,9411,1092,1
emergency fund,medium,Under 1 year,0,11236,3913,1274,10
Buy a house,high,Under 1 year,4,346873,2765,411,63
retirement,medium,1–5 years,6,269998,10752,585,44
Buy a house,medium,Under 1 year,9,183674,1849,221,71
emergency fund,low,1–5 years,6,9000,2000,300,50
retirement,high,1–5 years,3,507107,17287,1636,30
save for a car,low,1–5 years,5,15000,2500,600,8
retirement,medium,5–10 years,1,300000,5000,500,35
vacation,low,5–10 years,0,23444,5791,227,24
emergency fund,low,1–5 years,7,15520,2278,935,1
vacation,low,Under 1 year,0,12000,2000,200,30
retirement,medium,5–10 years,8,250000,12000,1500,88
vacation,medium,5–10 years,0,7000,1000,300,9
vacation,medium,1–5 years,1,9000,3000,500,5
vacation,low,Under 1 year,6,8000,2000,200,18
emergency fund,medium,Under 1 year,3,17306,1493,978,16
vacation,low,5–10 years,8,12000,4000,1000,3
emergency fund,medium,5–10 years,0,16359,4207,1559,1
Buy a house,medium,Under 1 year,8,230000,4000,900,58
save for a car,low,1–5 years,1,20612,14047,1204,68
retirement,high,5–10 years,5,226224,8104,346,22
save for a car,medium,1–5 years,1,43692,4670,515,19
emergency fund,medium,Under 1 year,6,10000,5000,1200,10
retirement,low,5–10 years,9,220000,9000,1200,10
vacation,low,1–5 years,1,8868,19972,503,81
emergency fund,high,Under 1 year,7,17869,4759,920,3
save for a car,medium,5–10 years,5,28000,9000,1000,2
retirement,high,5–10 years,5,450000,18000,1000,10
retirement,high,5–10 years,3,180242,19521,1429,6
